,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
59859,412272,32950,2015.0,ram,2500,excellent,6 cylinders,diesel,144410.0,clean,automatic,4wd,full-size,pickup,grey
59861,412279,2500,2005.0,toyota,camry,fair,4 cylinders,gas,124980.0,clean,automatic,fwd,full-size,sedan,silver
59863,412283,6799,2008.0,chevrolet,impala,excellent,6 cylinders,gas,72031.0,clean,automatic,fwd,full-size,sedan,red
59869,412323,13799,2014.0,ford,f-150,excellent,8 cylinders,gas,218065.0,clean,automatic,4wd,full-size,truck,white
59875,412337,6800,2014.0,toyota,corolla le,excellent,4 cylinders,gas,151385.0,clean,automatic,fwd,full-size,sedan,black
59876,412338,9999,2008.0,ford,ranger,excellent,6 cylinders,gas,90039.0,clean,automatic,4wd,mid-size,truck,white
59890,412399,14000,2018.0,chevrolet,malibu,like new,4 cylinders,gas,20000.0,rebuilt,automatic,fwd,mid-size,sedan,grey
59891,412420,10900,2006.0,gmc,sierra 1500,excellent,8 cylinders,gas,97012.0,clean,automatic,4wd,full-size,truck,red
59901,412475,5995,2011.0,ford,escape,excellent,4 cylinders,gas,149650.0,clean,automatic,rwd,mid-size,SUV,silver
59902,412488,12200,2014.0,honda,accord,excellent,4 cylinders,gas,76200.0,clean,automatic,fwd,mid-size,sedan,grey
59905,412499,3800,2010.0,ford,fusion se,good,6 cylinders,gas,173923.0,clean,automatic,fwd,mid-size,sedan,black
59907,412535,26500,2017.0,jeep,grand cherokee,like new,6 cylinders,gas,38090.0,clean,automatic,4wd,mid-size,SUV,black
59916,412585,10497,2016.0,ford,focus,excellent,4 cylinders,gas,46038.0,clean,automatic,fwd,compact,sedan,red
59920,412602,2000,2012.0,nissan,altima,fair,4 cylinders,gas,147000.0,clean,automatic,4wd,mid-size,sedan,silver
59922,412608,12955,2011.0,jeep,grand cherokee,excellent,6 cylinders,gas,110909.0,clean,automatic,4wd,full-size,SUV,green
59923,412634,4950,2006.0,chevrolet,impala lt,good,6 cylinders,gas,151964.0,clean,automatic,fwd,full-size,sedan,grey
59924,412658,20700,2015.0,jeep,grand cherokee,excellent,6 cylinders,diesel,102000.0,clean,automatic,4wd,full-size,SUV,white
59929,412702,4200,2007.0,volkswagen,jetta,like new,5 cylinders,gas,139000.0,clean,manual,fwd,mid-size,sedan,silver
59932,412706,5000,2003.0,ram,2500,good,8 cylinders,gas,130000.0,clean,automatic,4wd,full-size,truck,red
59933,412708,19855,2018.0,nissan,rogue,excellent,4 cylinders,gas,48653.0,clean,automatic,4wd,full-size,SUV,grey
59937,412725,20000,2014.0,chevrolet,impala,excellent,6 cylinders,gas,80000.0,clean,automatic,fwd,full-size,sedan,black
59938,412728,3500,2007.0,jeep,liberty,good,6 cylinders,gas,216534.0,clean,automatic,4wd,mid-size,SUV,white
59948,412753,5695,2010.0,honda,odyssey,good,6 cylinders,gas,217000.0,clean,automatic,fwd,mid-size,mini-van,black
59951,412768,15950,2013.0,ford,edge,excellent,6 cylinders,gas,88000.0,clean,automatic,4wd,full-size,SUV,black
59954,412774,17995,2016.0,ford,edge,good,6 cylinders,gas,95023.0,clean,automatic,4wd,full-size,SUV,white
59955,412775,28995,2017.0,ford,f-150,good,8 cylinders,gas,95888.0,clean,automatic,4wd,full-size,truck,grey
59961,412822,16995,2017.0,ford,escape,good,4 cylinders,gas,34254.0,clean,automatic,fwd,full-size,SUV,black
59962,412823,27995,2016.0,ford,f-150,good,6 cylinders,gas,118338.0,clean,automatic,4wd,full-size,truck,red
59967,412897,4700,2008.0,dodge,grand caravan,like new,6 cylinders,gas,146280.0,clean,automatic,fwd,full-size,van,white
59969,412926,17495,2017.0,honda,accord,excellent,4 cylinders,gas,28494.0,clean,automatic,fwd,mid-size,sedan,black
59970,412928,10495,2011.0,subaru,outback,good,4 cylinders,gas,103948.0,clean,automatic,4wd,mid-size,wagon,grey
59976,412971,13500,2016.0,dodge,journey,excellent,6 cylinders,gas,78000.0,clean,automatic,fwd,full-size,SUV,silver
59979,413020,17500,2013.0,toyota,sienna,excellent,6 cylinders,gas,89480.0,clean,automatic,fwd,full-size,mini-van,black
59982,413050,13517,2017.0,volkswagen,jetta,excellent,4 cylinders,gas,26335.0,clean,manual,fwd,compact,sedan,grey
59988,413113,3750,2005.0,toyota,camry,excellent,6 cylinders,gas,215000.0,clean,automatic,fwd,full-size,sedan,silver
59991,413126,11975,2016.0,dodge,journey,excellent,6 cylinders,gas,88542.0,clean,automatic,4wd,mid-size,SUV,silver
59992,413137,4000,2004.0,toyota,camry,good,4 cylinders,gas,194749.0,clean,automatic,fwd,mid-size,sedan,brown
