,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
1,5,13995,2012.0,ford,f-150,good,6 cylinders,gas,188406.0,clean,automatic,4wd,full-size,truck,grey
2,6,7995,2010.0,chevrolet,equinox,good,4 cylinders,gas,108124.0,clean,automatic,4wd,full-size,SUV,grey
3,7,8995,2011.0,chevrolet,traverse,good,6 cylinders,gas,178054.0,clean,automatic,4wd,full-size,SUV,white
4,8,10995,2014.0,ford,explorer,good,6 cylinders,gas,170259.0,clean,automatic,4wd,full-size,SUV,white
5,9,12995,2004.0,ram,2500,good,6 cylinders,diesel,309621.0,clean,automatic,4wd,full-size,truck,custom
6,10,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,210865.0,clean,automatic,4wd,full-size,truck,silver
7,11,12450,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,150959.0,clean,automatic,4wd,full-size,truck,blue
8,12,15995,2011.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,223470.0,clean,automatic,4wd,full-size,truck,white
9,13,11995,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,170684.0,clean,automatic,4wd,full-size,truck,blue
10,15,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,208016.0,clean,automatic,4wd,full-size,truck,white
11,16,9450,2008.0,chevrolet,silverado 1500,good,8 cylinders,gas,196913.0,clean,automatic,4wd,full-size,truck,blue
12,17,14995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,102462.0,clean,automatic,4wd,full-size,truck,blue
14,28,9900,2003.0,chevrolet,silverado,good,8 cylinders,diesel,299000.0,clean,automatic,4wd,full-size,truck,grey
16,33,12984,2016.0,nissan,rogue,excellent,4 cylinders,gas,86942.0,clean,automatic,4wd,mid-size,SUV,blue
18,37,25730,2017.0,ford,explorer,excellent,6 cylinders,gas,49858.0,rebuilt,automatic,4wd,full-size,SUV,black
20,41,5295,2010.0,dodge,grand caravan,good,6 cylinders,gas,159000.0,clean,automatic,fwd,mid-size,mini-van,red
21,42,6295,2013.0,chevrolet,cruze lt,good,4 cylinders,gas,103000.0,clean,automatic,fwd,mid-size,sedan,white
25,58,4725,2012.0,toyota,camry le,good,4 cylinders,gas,262000.0,clean,automatic,fwd,mid-size,sedan,red
27,65,3900,2004.0,ford,f-150,good,8 cylinders,gas,156559.0,clean,automatic,rwd,full-size,pickup,blue
30,90,21500,2014.0,chevrolet,suburban,excellent,8 cylinders,gas,115000.0,clean,automatic,4wd,full-size,SUV,red
32,96,4500,2010.0,chevrolet,impala,good,6 cylinders,gas,105000.0,clean,automatic,fwd,mid-size,sedan,brown
38,123,13800,2008.0,chevrolet,tahoe,good,8 cylinders,gas,108869.0,clean,automatic,rwd,full-size,SUV,black
41,127,7000,2011.0,toyota,camry,like new,4 cylinders,gas,123000.0,clean,automatic,fwd,mid-size,sedan,white
48,172,19900,2016.0,chevrolet,silverado 1500,good,8 cylinders,gas,141118.0,clean,automatic,4wd,full-size,truck,black
52,189,17237,2017.0,nissan,rogue,excellent,4 cylinders,gas,28269.0,clean,automatic,4wd,mid-size,SUV,silver
53,190,11999,2017.0,dodge,journey,excellent,4 cylinders,gas,66782.0,clean,automatic,fwd,mid-size,SUV,white
59,204,14600,2010.0,chevrolet,express,good,8 cylinders,gas,150778.0,clean,automatic,4wd,full-size,van,green
78,228,2995,2000.0,ford,mustang,good,6 cylinders,gas,103369.0,clean,automatic,rwd,mid-size,coupe,white
87,258,5800,2008.0,honda,civic lx,good,4 cylinders,gas,97540.0,clean,automatic,fwd,sub-compact,sedan,grey
88,261,9750,2013.0,honda,civic lx,good,4 cylinders,gas,77000.0,clean,automatic,fwd,compact,sedan,white
90,263,14500,2012.0,honda,accord,excellent,6 cylinders,gas,43400.0,clean,automatic,fwd,compact,coupe,grey
92,282,3995,2007.0,honda,civic,excellent,4 cylinders,gas,161776.0,clean,automatic,fwd,sub-compact,coupe,black
95,295,12500,2014.0,toyota,camry,excellent,4 cylinders,gas,77945.0,clean,automatic,fwd,full-size,sedan,grey
97,305,5500,2013.0,volkswagen,jetta,excellent,4 cylinders,gas,138000.0,clean,manual,fwd,full-size,sedan,black
101,314,22780,2012.0,ram,1500,excellent,8 cylinders,gas,54062.0,clean,automatic,4wd,full-size,pickup,black
102,317,10000,2010.0,ford,f-150,excellent,8 cylinders,gas,113000.0,clean,automatic,4wd,full-size,truck,grey
103,319,2200,2001.0,volkswagen,passat,good,4 cylinders,gas,215000.0,clean,manual,fwd,mid-size,sedan,black
108,331,24999,2015.0,ram,1500,excellent,8 cylinders,gas,91001.0,clean,automatic,4wd,full-size,pickup,white
109,332,24980,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,93988.0,clean,automatic,4wd,full-size,pickup,white
111,348,1900,2003.0,honda,civic,good,4 cylinders,gas,200000.0,clean,automatic,fwd,compact,sedan,silver
112,358,11995,2012.0,chevrolet,camaro,good,6 cylinders,gas,116435.0,clean,automatic,rwd,mid-size,coupe,silver
115,383,6995,2010.0,nissan,altima,excellent,4 cylinders,gas,140000.0,clean,automatic,fwd,mid-size,sedan,white
117,388,5995,2009.0,subaru,forester,excellent,4 cylinders,gas,170000.0,clean,automatic,4wd,full-size,wagon,grey
118,395,5450,2005.0,chevrolet,equinox,excellent,6 cylinders,gas,138000.0,clean,automatic,4wd,full-size,SUV,grey
119,396,5995,2005.0,toyota,prius,excellent,4 cylinders,hybrid,78000.0,clean,automatic,fwd,mid-size,hatchback,blue
120,398,5995,2009.0,ford,focus,excellent,4 cylinders,gas,69000.0,clean,manual,fwd,compact,sedan,blue
125,418,14600,2016.0,chrysler,town & country,like new,6 cylinders,gas,45000.0,clean,automatic,fwd,mid-size,mini-van,white
126,422,30995,2020.0,buick,enclave,excellent,6 cylinders,gas,35915.0,clean,automatic,fwd,full-size,SUV,grey
128,427,7900,2012.0,honda,civic,excellent,4 cylinders,gas,120000.0,clean,automatic,fwd,mid-size,coupe,blue
131,433,7900,2013.0,ford,taurus,excellent,6 cylinders,gas,82000.0,rebuilt,automatic,fwd,full-size,sedan,blue
132,434,18900,2016.0,toyota,prius,like new,4 cylinders,hybrid,26000.0,clean,automatic,fwd,mid-size,sedan,black
144,485,7990,2007.0,bmw,x5,like new,6 cylinders,gas,130000.0,clean,automatic,4wd,full-size,SUV,white
152,498,6999,2009.0,gmc,acadia,good,6 cylinders,gas,149260.0,clean,automatic,4wd,full-size,SUV,custom
153,500,3990,2006.0,dodge,grand caravan,excellent,6 cylinders,gas,127000.0,clean,automatic,fwd,full-size,van,blue
155,504,18900,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,105000.0,clean,automatic,4wd,full-size,SUV,white
156,505,5275,2009.0,toyota,corolla,good,4 cylinders,gas,97000.0,clean,automatic,fwd,compact,sedan,grey
158,510,4450,2007.0,hyundai,elantra,excellent,4 cylinders,gas,145000.0,clean,manual,fwd,compact,sedan,white
160,515,5495,2009.0,ford,focus,excellent,4 cylinders,gas,128000.0,clean,automatic,fwd,compact,sedan,white
161,517,5995,2010.0,subaru,forester,excellent,4 cylinders,gas,177000.0,clean,automatic,4wd,full-size,wagon,blue
163,525,7250,2010.0,dodge,grand caravan,excellent,6 cylinders,gas,129000.0,clean,automatic,fwd,full-size,mini-van,black
167,536,4000,2007.0,subaru,outback,good,4 cylinders,gas,200500.0,clean,automatic,4wd,sub-compact,wagon,green
168,537,7500,2003.0,jeep,wrangler,good,4 cylinders,gas,158000.0,clean,manual,4wd,full-size,SUV,black
175,560,6500,2012.0,ford,focus se,excellent,4 cylinders,gas,99000.0,clean,manual,fwd,compact,sedan,silver
177,562,6000,2000.0,toyota,tacoma,excellent,4 cylinders,gas,162000.0,clean,automatic,rwd,mid-size,pickup,silver
179,573,8000,2012.0,ford,f-150,good,8 cylinders,gas,228000.0,clean,automatic,4wd,full-size,pickup,white
180,579,1,2010.0,gmc,sierra 1500,excellent,8 cylinders,gas,186049.0,clean,automatic,rwd,full-size,truck,silver
184,588,7999,2010.0,honda,accord,good,4 cylinders,gas,129000.0,clean,automatic,fwd,mid-size,sedan,blue
190,638,27999,2007.0,ram,3500,excellent,6 cylinders,diesel,68000.0,clean,automatic,4wd,full-size,pickup,silver
195,655,3995,2005.0,chrysler,town & country,good,6 cylinders,gas,237600.0,clean,automatic,fwd,full-size,mini-van,blue
199,662,6999,2009.0,chrysler,town & country,good,6 cylinders,gas,122000.0,clean,automatic,fwd,mid-size,mini-van,red
201,664,6899,2008.0,chrysler,town & country,good,6 cylinders,gas,124000.0,clean,automatic,fwd,mid-size,mini-van,black
203,667,7995,2006.0,honda,pilot,good,6 cylinders,gas,153741.0,clean,automatic,4wd,full-size,SUV,blue
206,670,21999,2013.0,chevrolet,silverado 1500,like new,8 cylinders,gas,57900.0,clean,automatic,4wd,full-size,truck,white
212,681,3490,2002.0,subaru,outback,fair,4 cylinders,gas,186709.0,clean,manual,4wd,mid-size,wagon,white
221,721,7795,2008.0,ford,edge,good,6 cylinders,gas,140123.0,clean,automatic,4wd,full-size,SUV,orange
222,722,7995,2011.0,chevrolet,equinox,good,4 cylinders,gas,140290.0,clean,automatic,4wd,full-size,SUV,white
223,728,9695,2010.0,ford,edge,good,6 cylinders,gas,142786.0,clean,automatic,4wd,full-size,SUV,silver
224,729,17695,2019.0,ford,escape,good,4 cylinders,gas,58893.0,clean,automatic,4wd,full-size,SUV,orange
225,730,12495,2013.0,ford,edge,good,6 cylinders,gas,97846.0,clean,automatic,4wd,full-size,SUV,red
226,731,9795,2014.0,dodge,grand caravan,good,6 cylinders,gas,109926.0,clean,automatic,fwd,full-size,van,black
227,732,3200,2005.0,chrysler,town & country,excellent,6 cylinders,gas,168000.0,rebuilt,automatic,fwd,full-size,mini-van,green
228,737,10995,2008.0,toyota,highlander,good,6 cylinders,gas,159219.0,clean,automatic,4wd,full-size,SUV,silver
231,756,12900,2011.0,ford,f-150,excellent,8 cylinders,gas,175325.0,clean,automatic,rwd,mid-size,truck,brown
232,757,2900,2005.0,honda,civic lx,excellent,4 cylinders,gas,144000.0,clean,automatic,fwd,compact,sedan,silver
242,823,15999,2017.0,dodge,journey,good,6 cylinders,gas,75680.0,clean,automatic,4wd,mid-size,SUV,red
244,838,5200,2005.0,ford,f-150,good,8 cylinders,gas,154000.0,clean,automatic,rwd,full-size,truck,brown
246,869,5995,2008.0,chrysler,town & country,excellent,6 cylinders,gas,128322.0,clean,automatic,fwd,full-size,mini-van,red
248,880,9500,2013.0,toyota,corolla,excellent,4 cylinders,gas,90095.0,clean,automatic,fwd,compact,sedan,grey
249,893,2500,2017.0,ford,edge,like new,4 cylinders,gas,69110.0,clean,automatic,rwd,mid-size,SUV,white
252,902,7995,2011.0,ford,fusion se,good,4 cylinders,gas,160000.0,clean,automatic,fwd,mid-size,sedan,silver
257,951,8900,2005.0,ram,1500,good,8 cylinders,gas,145000.0,clean,automatic,4wd,full-size,truck,orange
268,1023,4900,2008.0,chevrolet,impala,excellent,6 cylinders,gas,165000.0,clean,automatic,fwd,full-size,sedan,grey
272,1035,3995,2006.0,toyota,prius,excellent,4 cylinders,hybrid,192420.0,clean,automatic,fwd,mid-size,hatchback,grey
276,1056,2500,2005.0,honda,civic,excellent,4 cylinders,gas,158000.0,clean,automatic,fwd,mid-size,coupe,red
284,1072,14990,2017.0,chevrolet,cruze lt,like new,4 cylinders,gas,23315.0,clean,automatic,fwd,mid-size,sedan,grey
287,1083,9000,2010.0,gmc,sierra 1500,good,8 cylinders,gas,249750.0,clean,automatic,4wd,full-size,truck,silver
291,1088,11500,2013.0,hyundai,elantra,like new,4 cylinders,gas,55000.0,clean,automatic,fwd,mid-size,sedan,grey
299,1116,9500,2010.0,ford,f-150,good,8 cylinders,gas,222000.0,clean,automatic,4wd,full-size,truck,black
300,1118,900,2006.0,chevrolet,impala,fair,6 cylinders,gas,189600.0,clean,automatic,fwd,full-size,sedan,red
302,1136,8999,2012.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,65000.0,rebuilt,automatic,rwd,full-size,pickup,white
303,1148,7499,2017.0,chevrolet,cruze lt,excellent,4 cylinders,gas,40000.0,rebuilt,automatic,fwd,compact,sedan,black
304,1170,6500,2005.0,ford,f-150,excellent,8 cylinders,gas,169000.0,clean,automatic,rwd,full-size,truck,black
305,1175,11499,2019.0,chevrolet,equinox,like new,4 cylinders,gas,38000.0,rebuilt,automatic,fwd,mid-size,SUV,blue
307,1194,6950,2014.0,volkswagen,jetta,like new,4 cylinders,gas,70000.0,rebuilt,automatic,fwd,mid-size,sedan,black
312,1212,8350,2008.0,chevrolet,suburban,excellent,8 cylinders,gas,227500.0,clean,automatic,4wd,full-size,SUV,black
315,1236,4999,2014.0,volkswagen,jetta,excellent,4 cylinders,gas,92000.0,rebuilt,automatic,fwd,compact,sedan,white
319,1248,6800,2016.0,chevrolet,cruze,like new,4 cylinders,gas,19000.0,clean,automatic,fwd,mid-size,sedan,blue
328,1289,44995,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,14361.0,clean,automatic,4wd,full-size,pickup,black
329,1290,24995,2014.0,toyota,tundra,excellent,8 cylinders,gas,77541.0,clean,automatic,4wd,full-size,pickup,blue
330,1295,9950,2010.0,ford,ranger,good,6 cylinders,gas,87360.0,clean,automatic,rwd,mid-size,truck,white
332,1314,3200,2004.0,subaru,outback,good,4 cylinders,gas,215000.0,clean,manual,4wd,mid-size,wagon,black
333,1315,17950,2017.0,chevrolet,traverse,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue
336,1341,7499,2011.0,honda,civic lx,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,sedan,brown
337,1360,8300,2017.0,nissan,versa,like new,4 cylinders,gas,55000.0,clean,automatic,fwd,full-size,sedan,brown
339,1369,4900,2009.0,honda,cr-v,good,4 cylinders,gas,153000.0,clean,automatic,fwd,mid-size,SUV,custom
342,1392,4200,2007.0,chevrolet,impala lt,good,6 cylinders,gas,161982.0,clean,automatic,fwd,full-size,sedan,white
347,1406,8950,2012.0,toyota,camry,good,4 cylinders,gas,136602.0,clean,automatic,fwd,compact,sedan,black
354,1443,4950,2011.0,jeep,patriot,good,4 cylinders,gas,153303.0,clean,manual,fwd,compact,SUV,white
356,1450,17950,2012.0,ford,f-150,good,6 cylinders,gas,128690.0,clean,automatic,4wd,full-size,pickup,grey
360,1470,8450,2016.0,nissan,versa,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black
361,1472,6950,2012.0,ford,fusion,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green
363,1478,14950,2013.0,ram,1500,good,6 cylinders,gas,126015.0,clean,automatic,rwd,full-size,pickup,white
367,1490,3750,2004.0,hyundai,santa fe,good,6 cylinders,gas,149877.0,clean,automatic,fwd,compact,SUV,blue
370,1507,2900,2003.0,ford,expedition,good,8 cylinders,gas,240000.0,clean,automatic,4wd,full-size,SUV,brown
372,1511,4200,2001.0,chevrolet,tahoe,good,8 cylinders,gas,178845.0,clean,automatic,4wd,full-size,SUV,white
387,1560,7500,2006.0,ford,f-150,excellent,8 cylinders,gas,236000.0,clean,automatic,4wd,full-size,truck,green
389,1567,5995,2011.0,ford,escape,excellent,6 cylinders,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black
392,1574,1200,2002.0,toyota,sienna,fair,6 cylinders,gas,198459.0,clean,automatic,fwd,full-size,mini-van,blue
409,1793,6250,2005.0,chevrolet,suburban,excellent,8 cylinders,gas,253000.0,clean,automatic,4wd,full-size,SUV,black
415,1871,7495,2010.0,ford,fusion se,excellent,4 cylinders,gas,65000.0,clean,automatic,fwd,mid-size,sedan,blue
421,1910,15987,2017.0,volkswagen,passat,excellent,4 cylinders,gas,40000.0,clean,automatic,fwd,mid-size,sedan,silver
423,1915,7995,2012.0,ford,escape,excellent,4 cylinders,gas,86000.0,clean,automatic,4wd,mid-size,SUV,silver
430,2004,8995,2015.0,chrysler,200,excellent,4 cylinders,gas,92958.0,clean,automatic,fwd,compact,sedan,white
431,2005,8975,2013.0,ford,fusion se,excellent,4 cylinders,gas,98191.0,clean,automatic,fwd,mid-size,sedan,silver
433,2007,23975,2017.0,jeep,grand cherokee,excellent,6 cylinders,gas,87053.0,clean,automatic,4wd,mid-size,SUV,black
439,2087,2500,2006.0,ford,taurus,good,4 cylinders,gas,221000.0,clean,automatic,fwd,mid-size,sedan,blue
440,2095,3750,2008.0,toyota,sienna,excellent,6 cylinders,gas,283000.0,clean,automatic,fwd,full-size,mini-van,silver
441,2096,7950,2013.0,toyota,camry,excellent,4 cylinders,gas,133000.0,clean,automatic,fwd,mid-size,sedan,grey
442,2113,16900,2007.0,ford,f-150,excellent,8 cylinders,gas,173000.0,clean,automatic,4wd,full-size,pickup,black
445,2167,15500,2007.0,ram,2500,like new,6 cylinders,diesel,229.0,clean,automatic,4wd,full-size,pickup,white
447,2186,6800,2002.0,chevrolet,silverado,good,8 cylinders,gas,320000.0,clean,automatic,4wd,full-size,truck,white
449,2225,7500,2009.0,toyota,sienna,good,6 cylinders,gas,147000.0,clean,automatic,fwd,full-size,van,white
450,2231,6200,2007.0,subaru,outback,good,4 cylinders,gas,108164.0,clean,automatic,4wd,mid-size,hatchback,grey
453,2295,19900,2016.0,subaru,legacy,excellent,4 cylinders,gas,49700.0,clean,automatic,4wd,compact,sedan,white
481,2662,10500,2014.0,subaru,forester,good,4 cylinders,gas,127649.0,clean,automatic,4wd,full-size,SUV,silver
484,2672,10995,2012.0,ford,edge,good,6 cylinders,gas,92723.0,clean,automatic,fwd,full-size,SUV,silver
485,2673,12995,2011.0,ford,explorer,good,6 cylinders,gas,95690.0,clean,automatic,4wd,full-size,SUV,grey
486,2674,31995,2014.0,jeep,wrangler,good,6 cylinders,gas,80267.0,clean,automatic,4wd,full-size,SUV,black
488,2680,13995,2008.0,gmc,sierra 1500,good,8 cylinders,gas,189707.0,clean,automatic,4wd,full-size,truck,grey
489,2681,35995,2011.0,ford,f-350 sd,good,8 cylinders,diesel,98455.0,clean,automatic,4wd,full-size,truck,white
490,2682,10995,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,129550.0,clean,automatic,rwd,full-size,truck,white
491,2684,42995,2018.0,chevrolet,silverado 2500hd,good,8 cylinders,diesel,67078.0,clean,automatic,4wd,full-size,truck,white
492,2685,30995,2016.0,toyota,4runner,good,6 cylinders,gas,51902.0,clean,automatic,4wd,full-size,SUV,white
495,2719,17900,2016.0,chevrolet,silverado,like new,8 cylinders,gas,87000.0,rebuilt,automatic,4wd,full-size,truck,white
502,2762,8900,2013.0,ford,fusion,excellent,4 cylinders,gas,63000.0,clean,automatic,fwd,full-size,sedan,grey
503,2782,50995,2018.0,chevrolet,silverado 1500,like new,8 cylinders,gas,40393.0,clean,automatic,4wd,full-size,truck,black
509,2830,29999,2015.0,ford,f-150,excellent,6 cylinders,gas,48150.0,clean,automatic,4wd,full-size,truck,red
510,2836,32995,2019.0,ram,1500,like new,8 cylinders,gas,3039.0,clean,automatic,rwd,full-size,truck,white
512,2839,9500,2014.0,ford,fusion se,excellent,4 cylinders,gas,95000.0,clean,automatic,fwd,mid-size,sedan,black
518,2851,9997,2014.0,chevrolet,cruze,excellent,4 cylinders,gas,54982.0,clean,automatic,fwd,mid-size,sedan,red
521,2863,34900,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white
523,2874,7700,2010.0,honda,accord,like new,4 cylinders,gas,134672.0,clean,automatic,fwd,mid-size,sedan,grey
525,2892,3500,2008.0,nissan,sentra,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey
534,2919,4450,2005.0,ford,f-150,excellent,6 cylinders,gas,175000.0,clean,automatic,rwd,full-size,pickup,white
537,2935,48995,2019.0,gmc,sierra 2500hd,like new,8 cylinders,gas,14633.0,clean,automatic,4wd,full-size,pickup,white
539,2945,3500,2001.0,honda,civic,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red
543,3003,5500,2006.0,jeep,liberty,excellent,6 cylinders,gas,158.0,clean,automatic,4wd,mid-size,SUV,red
546,3019,4400,2010.0,toyota,corolla,good,4 cylinders,gas,172645.0,clean,automatic,fwd,mid-size,sedan,grey
548,3024,5495,2008.0,honda,civic,good,4 cylinders,gas,93200.0,clean,automatic,fwd,compact,coupe,blue
549,3028,2500,2001.0,subaru,forester,good,4 cylinders,gas,163354.0,clean,automatic,4wd,mid-size,hatchback,grey
552,3154,10400,2013.0,ford,fusion,like new,4 cylinders,gas,48454.0,clean,automatic,fwd,full-size,sedan,white
554,3174,5900,2008.0,toyota,camry le,good,4 cylinders,gas,158899.0,clean,automatic,fwd,mid-size,coupe,blue
561,3265,2850,2005.0,honda,accord,good,4 cylinders,gas,185532.0,clean,automatic,fwd,mid-size,sedan,black
566,3293,6500,2012.0,jeep,liberty,excellent,6 cylinders,gas,160000.0,clean,automatic,4wd,mid-size,SUV,white
577,3458,9999,2006.0,chevrolet,colorado,excellent,5 cylinders,gas,163751.0,clean,automatic,4wd,full-size,pickup,green
578,3461,5300,2011.0,mazda,3,good,4 cylinders,gas,149000.0,clean,manual,fwd,compact,hatchback,black
581,3466,49995,2019.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,877.0,clean,automatic,4wd,full-size,pickup,blue
582,3467,9995,2008.0,ford,mustang,excellent,6 cylinders,gas,109039.0,clean,automatic,rwd,sub-compact,coupe,red
583,3468,44995,2019.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,10420.0,clean,automatic,4wd,full-size,pickup,blue
584,3469,49995,2019.0,chevrolet,tahoe,excellent,8 cylinders,gas,24503.0,clean,automatic,4wd,full-size,SUV,white
586,3473,26999,2018.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,64949.0,clean,automatic,rwd,full-size,truck,silver
590,3483,19999,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,276976.0,clean,automatic,4wd,full-size,pickup,white
592,3490,3995,2005.0,subaru,legacy,good,4 cylinders,gas,103880.0,clean,automatic,4wd,mid-size,wagon,white
594,3496,13303,2015.0,mazda,3,excellent,4 cylinders,gas,57441.0,clean,automatic,fwd,compact,hatchback,blue
597,3505,2500,2000.0,chevrolet,suburban,good,8 cylinders,gas,185661.0,clean,automatic,4wd,full-size,SUV,brown
601,3513,5800,2004.0,gmc,yukon,good,8 cylinders,gas,165000.0,clean,automatic,4wd,full-size,SUV,white
607,3531,24995,2008.0,jeep,wrangler,excellent,6 cylinders,gas,101525.0,clean,manual,4wd,full-size,SUV,green
608,3533,29995,2017.0,ram,1500,excellent,8 cylinders,gas,30196.0,clean,automatic,4wd,full-size,truck,blue
609,3534,17995,2007.0,cadillac,escalade,excellent,8 cylinders,gas,116870.0,clean,automatic,4wd,full-size,truck,white
613,3546,20000,2011.0,chevrolet,camaro,excellent,8 cylinders,gas,111360.0,clean,automatic,rwd,full-size,coupe,yellow
618,3570,4500,2002.0,toyota,camry le,good,4 cylinders,gas,141166.0,clean,automatic,fwd,mid-size,sedan,black
619,3585,4200,2003.0,ford,mustang,good,6 cylinders,gas,108000.0,clean,automatic,rwd,mid-size,convertible,black
630,3626,0,2009.0,ford,f-150,excellent,8 cylinders,gas,109792.0,clean,automatic,4wd,full-size,truck,black
633,3629,5000,2005.0,bmw,x5,excellent,8 cylinders,gas,178327.0,clean,automatic,4wd,mid-size,SUV,silver
634,3633,6800,2009.0,toyota,prius,excellent,4 cylinders,hybrid,114000.0,clean,automatic,fwd,full-size,sedan,white
638,3666,7500,2003.0,chevrolet,silverado,good,6 cylinders,gas,319212.0,clean,automatic,4wd,full-size,truck,custom
639,3667,15500,2010.0,toyota,tacoma,good,6 cylinders,gas,185458.0,clean,manual,4wd,full-size,truck,grey
647,3749,2850,2003.0,ford,escape,good,4 cylinders,gas,97475.0,clean,manual,fwd,mid-size,SUV,white
660,3791,7399,2012.0,ford,focus se,like new,4 cylinders,gas,99000.0,clean,automatic,fwd,compact,sedan,silver
661,3793,8399,2012.0,ford,fusion se,excellent,4 cylinders,gas,101000.0,clean,automatic,fwd,compact,sedan,white
670,3807,11499,2015.0,nissan,altima 2.5 s,like new,4 cylinders,gas,92000.0,clean,automatic,fwd,compact,sedan,brown
673,3819,8999,2008.0,honda,civic lx,like new,4 cylinders,gas,66000.0,clean,automatic,fwd,compact,sedan,silver
677,3829,6899,2009.0,toyota,camry le,like new,4 cylinders,gas,130000.0,clean,automatic,fwd,compact,sedan,grey
678,3830,8999,2012.0,toyota,corolla le,like new,4 cylinders,gas,143000.0,clean,automatic,fwd,compact,sedan,white
680,3836,6799,2007.0,honda,civic lx,excellent,4 cylinders,gas,146000.0,clean,automatic,fwd,compact,sedan,white
681,3837,6899,2009.0,toyota,camry le,like new,4 cylinders,gas,130000.0,clean,automatic,fwd,compact,sedan,grey
682,3838,6899,2009.0,toyota,camry le,like new,4 cylinders,gas,130000.0,clean,automatic,fwd,compact,sedan,grey
683,3842,7999,2015.0,chevrolet,impala lt,like new,6 cylinders,gas,98000.0,clean,automatic,fwd,compact,sedan,black
684,3843,8299,2013.0,chevrolet,cruze,like new,4 cylinders,gas,80000.0,rebuilt,automatic,fwd,compact,sedan,white
685,3845,3900,2007.0,toyota,prius,good,4 cylinders,gas,174306.0,clean,automatic,fwd,mid-size,hatchback,blue
687,3860,16995,2017.0,nissan,altima,excellent,4 cylinders,gas,69802.0,clean,automatic,fwd,mid-size,sedan,black
689,3862,0,2012.0,subaru,outback,excellent,4 cylinders,gas,93983.0,clean,automatic,4wd,mid-size,wagon,white
690,3863,44995,2019.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,10420.0,clean,automatic,4wd,full-size,pickup,blue
692,3886,18000,2010.0,toyota,tacoma,excellent,6 cylinders,gas,248000.0,clean,manual,4wd,mid-size,truck,grey
693,3903,14995,2008.0,gmc,yukon,excellent,8 cylinders,gas,123254.0,clean,automatic,4wd,full-size,SUV,custom
694,3904,10995,2008.0,ford,edge,excellent,6 cylinders,gas,99428.0,clean,automatic,4wd,full-size,SUV,silver
696,3906,11995,2005.0,jeep,liberty,excellent,6 cylinders,diesel,80021.0,clean,automatic,4wd,full-size,SUV,white
697,3907,28995,2007.0,ram,2500,excellent,6 cylinders,diesel,123392.0,clean,automatic,4wd,full-size,truck,custom
698,3909,11995,2004.0,ford,f-150,excellent,8 cylinders,gas,128329.0,clean,automatic,4wd,full-size,truck,red
700,3913,21000,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,153508.0,clean,automatic,4wd,full-size,SUV,brown
701,3914,12995,2010.0,chevrolet,traverse,excellent,6 cylinders,gas,95986.0,clean,automatic,4wd,full-size,SUV,red
702,3915,24995,2008.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,103555.0,clean,automatic,4wd,full-size,truck,black
703,3919,24995,2008.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,103555.0,clean,automatic,4wd,full-size,truck,black
705,3921,21000,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,153508.0,clean,automatic,4wd,full-size,SUV,brown
711,3931,13950,2018.0,chevrolet,cruze lt,excellent,4 cylinders,gas,49000.0,clean,automatic,fwd,compact,sedan,black
712,3932,0,2006.0,ford,explorer,good,6 cylinders,gas,150033.0,clean,automatic,rwd,full-size,SUV,blue
715,3937,14995,2006.0,honda,pilot,good,6 cylinders,gas,45790.0,clean,automatic,4wd,full-size,SUV,blue
721,3966,8995,2002.0,chevrolet,suburban,good,8 cylinders,gas,148187.0,clean,automatic,4wd,full-size,SUV,custom
723,3970,27995,2009.0,ford,f-150,good,3 cylinders,gas,72110.0,clean,automatic,4wd,full-size,truck,custom
